id,version,descriptor,option_index,notes
tenner_06_00,1.0.0,"Paris, France",0,Tenner 6 option 0
tenner_06_01,1.0.0,"Rome, Italy",1,Tenner 6 option 1
tenner_06_02,1.0.0,"Dublin, Ireland",2,Tenner 6 option 2
tenner_06_03,1.0.0,New York City,3,Tenner 6 option 3
tenner_06_04,1.0.0,"Dallas, Texas",4,Tenner 6 option 4
tenner_06_05,1.0.0,"Oslo, Norway",5,Tenner 6 option 5
tenner_06_06,1.0.0,"Cape Town, South Africa",6,Tenner 6 option 6
tenner_06_07,1.0.0,"Kyoto, Japan",7,Tenner 6 option 7
tenner_06_08,1.0.0,Rio de Janeiro,8,Tenner 6 option 8
tenner_06_09,1.0.0,"Sydney, Australia",9,Tenner 6 option 9
