id,version,descriptor,option_index,notes
tenner_29_00,1.0.0,trimming bonsai trees.,0,Tenner 29 option 0
tenner_29_01,1.0.0,painting pictures of cats.,1,Tenner 29 option 1
tenner_29_02,1.0.0,binge watching soap operas.,2,Tenner 29 option 2
tenner_29_03,1.0.0,"of gardening, gossip, and competitive bird-watching.",3,Tenner 29 option 3
tenner_29_04,1.0.0,spent yelling advice at game show contestants on TV.,4,Tenner 29 option 4
tenner_29_05,1.0.0,writing strongly-worded reviews about scented candles online.,5,Tenner 29 option 5
tenner_29_06,1.0.0,correcting grammar errors in graffiti across town.,6,Tenner 29 option 6
tenner_29_07,1.0.0,crocheting sweaters for rocks.,7,Tenner 29 option 7
tenner_29_08,1.0.0,dedicating herself to finding the perfect biscuit-to-tea ratio.,8,Tenner 29 option 8
tenner_29_09,1.0.0,orchestrating intricate heists on the cookie jar.,9,Tenner 29 option 9
tenner_29_10,1.0.0,playing sudoku with parrots,10,Tenner 29 option 10
