id,version,descriptor,option_index,notes
tenner_19_00,1.0.0,a Baroque piano,0,Tenner 19 option 0
tenner_19_01,1.0.0,a glass-bottom canoe,1,Tenner 19 option 1
tenner_19_02,1.0.0,a compact-refrigerator,2,Tenner 19 option 2
tenner_19_03,1.0.0,a threadbare sofa,3,Tenner 19 option 3
tenner_19_04,1.0.0,antique armoire,4,Tenner 19 option 4
tenner_19_05,1.0.0,a smoldering charcoal grill,5,Tenner 19 option 5
tenner_19_06,1.0.0,a lacewood dining room table,6,Tenner 19 option 6
tenner_19_07,1.0.0,an AI-powered washing machine,7,Tenner 19 option 7
tenner_19_08,1.0.0,a flea-infested mattress,8,Tenner 19 option 8
tenner_19_09,1.0.0,a shiny red lawn mower,9,Tenner 19 option 9
