id,version,descriptor,option_index,notes
tenner_24_00,1.0.0,"tennis ball,",0,Tenner 24 option 0
tenner_24_01,1.0.0,"a ping pong ball,",1,Tenner 24 option 1
tenner_24_02,1.0.0,"a venetian-glass marble,",2,Tenner 24 option 2
tenner_24_03,1.0.0,"a smooth river-stone,",3,Tenner 24 option 3
tenner_24_04,1.0.0,"a billiards 8-ball,",4,Tenner 24 option 4
tenner_24_05,1.0.0,a hairy kiwi,5,Tenner 24 option 5
tenner_24_06,1.0.0,"a pink grapefruit,",6,Tenner 24 option 6
tenner_24_07,1.0.0,"a walnut,",7,Tenner 24 option 7
tenner_24_08,1.0.0,"a single green pea,",8,Tenner 24 option 8
tenner_24_09,1.0.0,"a lightbulb,",9,Tenner 24 option 9
