id,version,descriptor,option_index,notes
tenner_16_00,1.0.0,powdered jelly donut.,0,Tenner 16 option 0
tenner_16_01,1.0.0,homemade cherry pie.,1,Tenner 16 option 1
tenner_16_02,1.0.0,everything bagel.,2,Tenner 16 option 2
tenner_16_03,1.0.0,Parisian croissant.,3,Tenner 16 option 3
tenner_16_04,1.0.0,ginger-bread man,4,Tenner 16 option 4
tenner_16_05,1.0.0,Rainbow-Frosted cupcake,5,Tenner 16 option 5
tenner_16_06,1.0.0,Bavarian soft pretzel,6,Tenner 16 option 6
tenner_16_07,1.0.0,vanilla soufflé,7,Tenner 16 option 7
tenner_16_08,1.0.0,lemon mirangue pie,8,Tenner 16 option 8
tenner_16_09,1.0.0,stack of blueberry pancakes,9,Tenner 16 option 9
tenner_16_10,1.0.0,(delete no-bake) banana cream pie.,10,Tenner 16 option 10
tenner_16_11,1.0.0,vegan-cheese pizza.,11,Tenner 16 option 11
tenner_16_12,1.0.0,loaf of sourdough bread.,12,Tenner 16 option 12
