id,version,descriptor,option_index,notes
tenner_05_00,1.0.0,a hot pink trenchcoat,0,Tenner 5 option 0
tenner_05_01,1.0.0,Fruit-Slice dress,1,Tenner 5 option 1
tenner_05_02,1.0.0,a white fur coat.,2,Tenner 5 option 2
tenner_05_03,1.0.0,3D printed floral bodysuit,3,Tenner 5 option 3
tenner_05_04,1.0.0,jellyfish-Inspired Gown,4,Tenner 5 option 4
tenner_05_05,1.0.0,a fly fishing vest.,5,Tenner 5 option 5
tenner_05_06,1.0.0,dress made of spaghetti,6,Tenner 5 option 6
tenner_05_07,1.0.0,bubble wrap skirt,7,Tenner 5 option 7
tenner_05_08,1.0.0,Glowing Fiber Optic Dress:,8,Tenner 5 option 8
tenner_05_09,1.0.0,Origami Dress:,9,Tenner 5 option 9
tenner_05_10,1.0.0,banana-print slacks,10,Tenner 5 option 10
tenner_05_11,1.0.0,a tuxedo shirt,11,Tenner 5 option 11
tenner_05_12,1.0.0,feather boa,12,Tenner 5 option 12
tenner_05_13,1.0.0,rainbow suspenders,13,Tenner 5 option 13
tenner_05_14,1.0.0,a cape made of banana peels,14,Tenner 5 option 14
tenner_05_15,1.0.0,Giant Pearl Necklace Cape:,15,Tenner 5 option 15
tenner_05_16,1.0.0,a black leather jacket.,16,Tenner 5 option 16
tenner_05_17,1.0.0,a sparkly skirt.,17,Tenner 5 option 17
tenner_05_18,1.0.0,a beach bikini.,18,Tenner 5 option 18
tenner_05_19,1.0.0,a sequin dress,19,Tenner 5 option 19
tenner_05_20,1.0.0,a white karate gi with black belt.,20,Tenner 5 option 20
tenner_05_21,1.0.0,red-velvet pajamas.,21,Tenner 5 option 21
tenner_05_22,1.0.0,a fancy ball gown.,22,Tenner 5 option 22
tenner_05_23,1.0.0,a superhero costume.,23,Tenner 5 option 23
