id,version,descriptor,option_index,notes
tenner_22_00,1.0.0,"a stained-glass Tiffany lamp,",0,Tenner 22 option 0
tenner_22_01,1.0.0,"a Persian carpet,",1,Tenner 22 option 1
tenner_22_02,1.0.0,"a supersonic hair dryer,",2,Tenner 22 option 2
tenner_22_03,1.0.0,"a professional stand mixer,",3,Tenner 22 option 3
tenner_22_04,1.0.0,"a lawn-sprinkler,",4,Tenner 22 option 4
tenner_22_05,1.0.0,"a Finnish cross-country ski,",5,Tenner 22 option 5
tenner_22_06,1.0.0,"an assassins rifle,",6,Tenner 22 option 6
tenner_22_07,1.0.0,"a modernist bedside table,",7,Tenner 22 option 7
tenner_22_08,1.0.0,"a pair of yellow rubber boots,",8,Tenner 22 option 8
tenner_22_09,1.0.0,"a Tungsten-hardened safe,",9,Tenner 22 option 9
