id,version,descriptor,option_index,notes
tenner_10_00,1.0.0,ripe canteloupe,0,Tenner 10 option 0
tenner_10_01,1.0.0,hot cinnamon buns.,1,Tenner 10 option 1
tenner_10_02,1.0.0,socks left in the rain,2,Tenner 10 option 2
tenner_10_03,1.0.0,lemon trees.,3,Tenner 10 option 3
tenner_10_04,1.0.0,fresh cut grass.,4,Tenner 10 option 4
tenner_10_05,1.0.0,jasmine flowers.,5,Tenner 10 option 5
tenner_10_06,1.0.0,the ocean breeze.,6,Tenner 10 option 6
tenner_10_07,1.0.0,cedar shavings.,7,Tenner 10 option 7
tenner_10_08,1.0.0,mint.,8,Tenner 10 option 8
tenner_10_09,1.0.0,burnt marshmallows,9,Tenner 10 option 9
tenner_10_10,1.0.0,dirty socks.,10,Tenner 10 option 10
tenner_10_11,1.0.0,ripe bananas.,11,Tenner 10 option 11
