id,version,descriptor,option_index,notes
tenner_31_00,1.0.0,moonwalked offstage,0,Tenner 31 option 0
tenner_31_01,1.0.0,winked mysteriously,1,Tenner 31 option 1
tenner_31_02,1.0.0,blew a kiss,2,Tenner 31 option 2
tenner_31_03,1.0.0,yelled “plot twist”,3,Tenner 31 option 3
tenner_31_04,1.0.0,unleashed glitter bombs,4,Tenner 31 option 4
tenner_31_05,1.0.0,backflipped into an alternate dimension,5,Tenner 31 option 5
tenner_31_06,1.0.0,folded herself into origami-bird and flew away,6,Tenner 31 option 6
tenner_31_07,1.0.0,spontaneously combusted into marshmallows,7,Tenner 31 option 7
tenner_31_08,1.0.0,swallowed her shadow and faded from existence,8,Tenner 31 option 8
tenner_31_09,1.0.0,climbed into her own handbag and zipped it shut,9,Tenner 31 option 9
tenner_31_10,1.0.0,climbed into her own hat,10,Tenner 31 option 10
tenner_31_11,1.0.0,folded into a paper crane,11,Tenner 31 option 11
