id,version,descriptor,option_index,notes
tenner_15_00,1.0.0,Giant Ukranian watermelons,0,Tenner 15 option 0
tenner_15_01,1.0.0,Vienna sausages,1,Tenner 15 option 1
tenner_15_02,1.0.0,tubs of fat-free yoghurt,2,Tenner 15 option 2
tenner_15_03,1.0.0,bowls of corn flakes,3,Tenner 15 option 3
tenner_15_04,1.0.0,deep-fried marshmallows wrapped in bacon,4,Tenner 15 option 4
tenner_15_05,1.0.0,chocolate covered beatles,5,Tenner 15 option 5
tenner_15_06,1.0.0,booger-flavored jelly beans,6,Tenner 15 option 6
tenner_15_07,1.0.0,raw red onions,7,Tenner 15 option 7
tenner_15_08,1.0.0,sour limes,8,Tenner 15 option 8
tenner_15_09,1.0.0,crustless peanut butter and jelly sandwiches,9,Tenner 15 option 9
tenner_15_10,1.0.0,soft-boiled eggs,10,Tenner 15 option 10
tenner_15_11,1.0.0,strips of bacon,11,Tenner 15 option 11
tenner_15_12,1.0.0,extra-fluffy marshmallows,12,Tenner 15 option 12
tenner_15_13,1.0.0,Iranian pistachios,13,Tenner 15 option 13
