id,version,descriptor,option_index,notes
tenner_04_00,1.0.0,a pair of broken spectacles held together with tape,0,Tenner 4 option 0
tenner_04_01,1.0.0,a pair of large racing goggles,1,Tenner 4 option 1
tenner_04_02,1.0.0,heart shaped glasses,2,Tenner 4 option 2
tenner_04_03,1.0.0,a yellow eye patch over one eye,3,Tenner 4 option 3
tenner_04_04,1.0.0,a gummy bear nose piercing,4,Tenner 4 option 4
tenner_04_05,1.0.0,sky blue eye shadow,5,Tenner 4 option 5
tenner_04_06,1.0.0,pink fuzzy frame glasses,6,Tenner 4 option 6
tenner_04_07,1.0.0,glasses covered in large buttons,7,Tenner 4 option 7
tenner_04_08,1.0.0,mirrored cycling sunglasses,8,Tenner 4 option 8
tenner_04_09,1.0.0,a monocle on a chain,9,Tenner 4 option 9
tenner_04_10,1.0.0,large blue buttons over her eyes,10,Tenner 4 option 10
tenner_04_11,1.0.0,special goggles that shoot red lasers,11,Tenner 4 option 11
