id,version,descriptor,option_index,notes
tenner_20_00,1.0.0,a retro TV set,0,Tenner 20 option 0
tenner_20_01,1.0.0,a gramophone,1,Tenner 20 option 1
tenner_20_02,1.0.0,a marching band drum,2,Tenner 20 option 2
tenner_20_03,1.0.0,a massive Tuba,3,Tenner 20 option 3
tenner_20_04,1.0.0,an cutaway Spanish guitar,4,Tenner 20 option 4
tenner_20_05,1.0.0,a military-grade laptop,5,Tenner 20 option 5
tenner_20_06,1.0.0,a Kimball and Morton sewing machine,6,Tenner 20 option 6
tenner_20_07,1.0.0,a cyclonic-action vacuum cleaner,7,Tenner 20 option 7
tenner_20_08,1.0.0,an inflatable banana boat,8,Tenner 20 option 8
tenner_20_09,1.0.0,an ancient Hawaiian surfboard,9,Tenner 20 option 9
