id,version,descriptor,option_index,notes
tenner_11_00,1.0.0,newborn kittens,0,Tenner 11 option 0
tenner_11_01,1.0.0,plastic chickens,1,Tenner 11 option 1
tenner_11_02,1.0.0,live lobsters,2,Tenner 11 option 2
tenner_11_03,1.0.0,king cobras,3,Tenner 11 option 3
tenner_11_04,1.0.0,Japanese flying squid,4,Tenner 11 option 4
tenner_11_05,1.0.0,carniverous plants,5,Tenner 11 option 5
tenner_11_06,1.0.0,pickled brains,6,Tenner 11 option 6
tenner_11_07,1.0.0,slippery fish,7,Tenner 11 option 7
tenner_11_08,1.0.0,buttered corn on the cob,8,Tenner 11 option 8
tenner_11_09,1.0.0,leopards slugs,9,Tenner 11 option 9
tenner_11_10,1.0.0,neon tennis balls,10,Tenner 11 option 10
tenner_11_11,1.0.0,Haas avocados,11,Tenner 11 option 11
tenner_11_12,1.0.0,Jersey tomatoes,12,Tenner 11 option 12
tenner_11_13,1.0.0,Japanese eggplants,13,Tenner 11 option 13
tenner_11_14,1.0.0,sledge hammers,14,Tenner 11 option 14
tenner_11_15,1.0.0,chef knives,15,Tenner 11 option 15
tenner_11_16,1.0.0,sharpened saw blades,16,Tenner 11 option 16
tenner_11_17,1.0.0,typewriters,17,Tenner 11 option 17
