id,version,descriptor,option_index,notes
tenner_25_00,1.0.0,a delicate tea cup.,0,Tenner 25 option 0
tenner_25_01,1.0.0,a French Press coffee pot.,1,Tenner 25 option 1
tenner_25_02,1.0.0,a terracotta water pitcher.,2,Tenner 25 option 2
tenner_25_03,1.0.0,a tray of colorful macaron.,3,Tenner 25 option 3
tenner_25_04,1.0.0,a dusty stack of newspapers.,4,Tenner 25 option 4
tenner_25_05,1.0.0,a copper saucepan.,5,Tenner 25 option 5
tenner_25_06,1.0.0,a hand-blown wine glass.,6,Tenner 25 option 6
tenner_25_07,1.0.0,a Moroccan throw pillow.,7,Tenner 25 option 7
tenner_25_08,1.0.0,a silver candelabra.,8,Tenner 25 option 8
tenner_25_09,1.0.0,a silicone ice-cube tray.,9,Tenner 25 option 9
