id,version,descriptor,option_index,notes
tenner_26_00,1.0.0,playing polka music on an accordion,0,Tenner 26 option 0
tenner_26_01,1.0.0,playing Jimmy Hendrix on an electric guitar,1,Tenner 26 option 1
tenner_26_02,1.0.0,playing a folk song on harmonica,2,Tenner 26 option 2
tenner_26_03,1.0.0,playing Miles Davis on a trumpet,3,Tenner 26 option 3
tenner_26_04,1.0.0,playing Mozart Flute Concerto No 2 in D major,4,Tenner 26 option 4
tenner_26_05,1.0.0,singing classic Opera music in the range of basso profundo,5,Tenner 26 option 5
tenner_26_06,1.0.0,whistling the theme song to Clint Eastwoods the Good the Bad and the Ugly,6,Tenner 26 option 6
tenner_26_07,1.0.0,playing Zydeco music on a washboard,7,Tenner 26 option 7
tenner_26_08,1.0.0,plucking melodically on a golden harp,8,Tenner 26 option 8
tenner_26_09,1.0.0,beat-boxing to 80s rap music,9,Tenner 26 option 9
tenner_26_10,1.0.0,imitating whale calls,10,Tenner 26 option 10
tenner_26_11,1.0.0,singing jazz in Icelandic,11,Tenner 26 option 11
tenner_26_12,1.0.0,reciting poetry in Morse code,12,Tenner 26 option 12
