id,version,descriptor,option_index,notes
tenner_27_00,1.0.0,solve a Rubiks cube,0,Tenner 27 option 0
tenner_27_01,1.0.0,tie a shoelace,1,Tenner 27 option 1
tenner_27_02,1.0.0,make a perfect martini,2,Tenner 27 option 2
tenner_27_03,1.0.0,graph a polynomial equation on a calculator,3,Tenner 27 option 3
tenner_27_04,1.0.0,brushing her teeth,4,Tenner 27 option 4
tenner_27_05,1.0.0,tie a Windsor knot in a neck tie,5,Tenner 27 option 5
tenner_27_06,1.0.0,complete a crossword puzzle,6,Tenner 27 option 6
tenner_27_07,1.0.0,complete a Sudoku puzzle,7,Tenner 27 option 7
tenner_27_08,1.0.0,send a work email,8,Tenner 27 option 8
tenner_27_09,1.0.0,perform tricks with a yoyo,9,Tenner 27 option 9
