id,version,descriptor,option_index,notes
tenner_13_00,1.0.0,a shimmering samba,0,Tenner 13 option 0
tenner_13_01,1.0.0,whirlwind swing routine,1,Tenner 13 option 1
tenner_13_02,1.0.0,she spun into a glittering disco frenzy,2,Tenner 13 option 2
tenner_13_03,1.0.0,danced a defiant ballet,3,Tenner 13 option 3
tenner_13_04,1.0.0,danced Afrobeat in a storm of rhythm made flesh,4,Tenner 13 option 4
tenner_13_05,1.0.0,danced flamenco with alternating thunder and grace,5,Tenner 13 option 5
tenner_13_06,1.0.0,danced a tender and poetic solo-waltz,6,Tenner 13 option 6
tenner_13_07,1.0.0,a polished and pulsating k-pop routine,7,Tenner 13 option 7
tenner_13_08,1.0.0,danced a fluid and raw contemporary dance performance,8,Tenner 13 option 8
tenner_13_09,1.0.0,she tap danced,9,Tenner 13 option 9
