id,version,descriptor,option_index,notes
tenner_32_00,1.0.0,"/” BRB, reincarnating./”",0,Tenner 32 option 0
tenner_32_01,1.0.0,/“Gone to haunt my enemies. XOXO/”,1,Tenner 32 option 1
tenner_32_02,1.0.0,/“Spoiler alert: you're next./”,2,Tenner 32 option 2
tenner_32_03,1.0.0,/“Ran out of batteries—went home to recharge/”,3,Tenner 32 option 3
tenner_32_04,1.0.0,/“Error 404: Grandma not found/”,4,Tenner 32 option 4
tenner_32_05,1.0.0,/“I've peaked—leaving before the sequel./”,5,Tenner 32 option 5
tenner_32_06,1.0.0,/“Grandma out/”,6,Tenner 32 option 6
tenner_32_07,1.0.0,"/""Entropy wins again. Off to restore universal order./""",7,Tenner 32 option 7
tenner_32_08,1.0.0,“/I am the canvas now; the world holds the brush./”,8,Tenner 32 option 8
tenner_32_09,1.0.0,/“Mission complete. Returning to the mothership./”,9,Tenner 32 option 9
