id,version,descriptor,option_index,notes
tenner_09_00,1.0.0,riding a small tricycle.,0,Tenner 9 option 0
tenner_09_01,1.0.0,balancing deftly on a tall unicycle.,1,Tenner 9 option 1
tenner_09_02,1.0.0,racing around town with a large motorcycle.,2,Tenner 9 option 2
tenner_09_03,1.0.0,hopping around on a pogo stick,3,Tenner 9 option 3
tenner_09_04,1.0.0,riding an electric scooter.,4,Tenner 9 option 4
tenner_09_05,1.0.0,whizzing around in vintage rollerskates.,5,Tenner 9 option 5
tenner_09_06,1.0.0,zooming around town in a jetpack.,6,Tenner 9 option 6
tenner_09_07,1.0.0,surfing on melted butter,7,Tenner 9 option 7
tenner_09_08,1.0.0,riding an ostrich.,8,Tenner 9 option 8
tenner_09_09,1.0.0,charging around town atop a massive bull,9,Tenner 9 option 9
tenner_09_10,1.0.0,the wet earth after a rain.,10,Tenner 9 option 10
tenner_09_11,1.0.0,cruising in a red convertible.,11,Tenner 9 option 11
