id,version,descriptor,option_index,notes
tenner_17_00,1.0.0,doing a handstand on a motorcycle,0,Tenner 17 option 0
tenner_17_01,1.0.0,driving a railroad spike into her nostril,1,Tenner 17 option 1
tenner_17_02,1.0.0,swallowing a sword,2,Tenner 17 option 2
tenner_17_03,1.0.0,covering herself in honeybees,3,Tenner 17 option 3
tenner_17_04,1.0.0,escaping from chains,4,Tenner 17 option 4
tenner_17_05,1.0.0,holding her bladder for three straight days,5,Tenner 17 option 5
tenner_17_06,1.0.0,jumping through a ring of fire,6,Tenner 17 option 6
tenner_17_07,1.0.0,eating live fire ants,7,Tenner 17 option 7
tenner_17_08,1.0.0,catching a bullet in her teeth,8,Tenner 17 option 8
tenner_17_09,1.0.0,escaping from a tank of hammerhead sharks,9,Tenner 17 option 9
tenner_17_10,1.0.0,escaping from a tank of strawberry jello,10,Tenner 17 option 10
