id,version,descriptor,option_index,notes
tenner_18_00,1.0.0,hurtle herself from a cannon.,0,Tenner 18 option 0
tenner_18_01,1.0.0,traversing a high wire.,1,Tenner 18 option 1
tenner_18_02,1.0.0,setting herself on fire.,2,Tenner 18 option 2
tenner_18_03,1.0.0,consuming a bowl of broken glass.,3,Tenner 18 option 3
tenner_18_04,1.0.0,shocking herself with 250 000 volts of electricity.,4,Tenner 18 option 4
tenner_18_05,1.0.0,snorting a line of fire-ants,5,Tenner 18 option 5
tenner_18_06,1.0.0,lying down and having a tank drive over her.,6,Tenner 18 option 6
tenner_18_07,1.0.0,inflating herself with helium until she started to float,7,Tenner 18 option 7
tenner_18_08,1.0.0,freezing herself inside a giant block of ice.,8,Tenner 18 option 8
tenner_18_09,1.0.0,bungee jumping from a helicopter.,9,Tenner 18 option 9
tenner_18_10,1.0.0,driving a railroad spike into her nostril.,10,Tenner 18 option 10
tenner_18_11,1.0.0,doing a handstand on a pencil.,11,Tenner 18 option 11
