id,version,descriptor,option_index,notes
tenner_30_00,1.0.0,mime {{pronomen}},0,Tenner 30 option 0
tenner_30_01,1.0.0,handsome actor with an impressive mustache,1,Tenner 30 option 1
tenner_30_02,1.0.0,Zen philospher,2,Tenner 30 option 2
tenner_30_03,1.0.0,librarian,3,Tenner 30 option 3
tenner_30_04,1.0.0,yoga instructor,4,Tenner 30 option 4
tenner_30_05,1.0.0,bee keeper,5,Tenner 30 option 5
tenner_30_06,1.0.0,dog psychic,6,Tenner 30 option 6
tenner_30_07,1.0.0,cheese sculptor,7,Tenner 30 option 7
tenner_30_08,1.0.0,fortune cookie poet,8,Tenner 30 option 8
tenner_30_09,1.0.0,karaoke coach,9,Tenner 30 option 9
tenner_30_10,1.0.0,scone sommelier,10,Tenner 30 option 10
