id,version,descriptor,option_index,notes
tenner_02_00,1.0.0,a tall cowboy hat with a star on it,0,Tenner 2 option 0
tenner_02_01,1.0.0,a avant garde purple mohawk,1,Tenner 2 option 1
tenner_02_02,1.0.0,a sideways baseball cap,2,Tenner 2 option 2
tenner_02_03,1.0.0,a tiara of french fries,3,Tenner 2 option 3
tenner_02_04,1.0.0,a fruit-adorned headdress,4,Tenner 2 option 4
tenner_02_05,1.0.0,a bonnet knitted from dandelions,5,Tenner 2 option 5
tenner_02_06,1.0.0,a colorful Mexican sombrero,6,Tenner 2 option 6
tenner_02_07,1.0.0,a Russian Trapper Hat,7,Tenner 2 option 7
tenner_02_08,1.0.0,a knight's helmet,8,Tenner 2 option 8
tenner_02_09,1.0.0,a flamboyant hat of swan feathers,9,Tenner 2 option 9
tenner_02_10,1.0.0,a watermelon rind helmet,10,Tenner 2 option 10
tenner_02_11,1.0.0,a silver tiara studded with jewels,11,Tenner 2 option 11
tenner_02_12,1.0.0,a traffic cone as a hat,12,Tenner 2 option 12
