id,version,descriptor,option_index,notes
tenner_07_00,1.0.0,jelly-beans and gum.,0,Tenner 7 option 0
tenner_07_01,1.0.0,toothpicks.,1,Tenner 7 option 1
tenner_07_02,1.0.0,cheese.,2,Tenner 7 option 2
tenner_07_03,1.0.0,cotton-candy.,3,Tenner 7 option 3
tenner_07_04,1.0.0,donuts (tower of donuts),4,Tenner 7 option 4
tenner_07_05,1.0.0,lasagna (skyscraper),5,Tenner 7 option 5
tenner_07_06,1.0.0,waffles (waffle pyramid),6,Tenner 7 option 6
tenner_07_07,1.0.0,crayons,7,Tenner 7 option 7
tenner_07_08,1.0.0,helium balloons.,8,Tenner 7 option 8
tenner_07_09,1.0.0,giant blue butterflies.,9,Tenner 7 option 9
tenner_07_10,1.0.0,cardboard,10,Tenner 7 option 10
tenner_07_11,1.0.0,felt and velcro.,11,Tenner 7 option 11
tenner_07_12,1.0.0,carrot cake igloo,12,Tenner 7 option 12
