id,version,descriptor,option_index,notes
tenner_08_00,1.0.0,engineered-pasta,0,Tenner 8 option 0
tenner_08_01,1.0.0,stale baguettes,1,Tenner 8 option 1
tenner_08_02,1.0.0,legos.,2,Tenner 8 option 2
tenner_08_03,1.0.0,newspapers.,3,Tenner 8 option 3
tenner_08_04,1.0.0,whale bones.,4,Tenner 8 option 4
tenner_08_05,1.0.0,seaweed.,5,Tenner 8 option 5
tenner_08_06,1.0.0,pinecones,6,Tenner 8 option 6
tenner_08_07,1.0.0,bottle caps,7,Tenner 8 option 7
tenner_08_08,1.0.0,repurposed home appliances,8,Tenner 8 option 8
tenner_08_09,1.0.0,styrofoam cups.,9,Tenner 8 option 9
tenner_08_10,1.0.0,an old airplane wing.,10,Tenner 8 option 10
tenner_08_11,1.0.0,an old school bus.,11,Tenner 8 option 11
tenner_08_12,1.0.0,tree bark.,12,Tenner 8 option 12
tenner_08_13,1.0.0,glass bottles.,13,Tenner 8 option 13
