id,version,descriptor,option_index,notes
tenner_28_00,1.0.0,wrestling a crocodile.,0,Tenner 28 option 0
tenner_28_01,1.0.0,diffusing a bomb.,1,Tenner 28 option 1
tenner_28_02,1.0.0,unraveling a knotted garden hose.,2,Tenner 28 option 2
tenner_28_03,1.0.0,performing open heart surgery.,3,Tenner 28 option 3
tenner_28_04,1.0.0,arm wrestling three men simultaneously,4,Tenner 28 option 4
tenner_28_05,1.0.0,hypnotizing a skeptical member of the audience.,5,Tenner 28 option 5
tenner_28_06,1.0.0,subduing a charging bull.,6,Tenner 28 option 6
tenner_28_07,1.0.0,sawing herself in half without bleeding,7,Tenner 28 option 7
tenner_28_08,1.0.0,winning ten straight hands of rock-paper-scissors.,8,Tenner 28 option 8
tenner_28_09,1.0.0,playing Beethovens Moonlight Sonata on a grand piano.,9,Tenner 28 option 9
