id,version,descriptor,option_index,notes
tenner_03_00,1.0.0,a vial of stardust,0,Tenner 3 option 0
tenner_03_01,1.0.0,a large wall clock hanging from a heavy chain.,1,Tenner 3 option 1
tenner_03_02,1.0.0,a slice of melty pizza.,2,Tenner 3 option 2
tenner_03_03,1.0.0,a tiny birdcage with a grasshopper inside it,3,Tenner 3 option 3
tenner_03_04,1.0.0,a small fish-tank with a live goldfish in it on a necklace.,4,Tenner 3 option 4
tenner_03_05,1.0.0,a neon-green bowtie.,5,Tenner 3 option 5
tenner_03_06,1.0.0,a great white sharks-tooth,6,Tenner 3 option 6
tenner_03_07,1.0.0,a hand-mirror,7,Tenner 3 option 7
tenner_03_08,1.0.0,a pair of fuzzy dice,8,Tenner 3 option 8
tenner_03_09,1.0.0,a bronze bell.,9,Tenner 3 option 9
tenner_03_10,1.0.0,three Animal-Olympics Gold medals.,10,Tenner 3 option 10
tenner_03_11,1.0.0,a nose piercing,11,Tenner 3 option 11
