id,version,descriptor,option_index,notes
tenner_23_00,1.0.0,a kitty-litter box,0,Tenner 23 option 0
tenner_23_01,1.0.0,"an inflatable beach volleyball,",1,Tenner 23 option 1
tenner_23_02,1.0.0,"an official WNBA basketball,",2,Tenner 23 option 2
tenner_23_03,1.0.0,"a deflated soccer ball,",3,Tenner 23 option 3
tenner_23_04,1.0.0,"an American football,",4,Tenner 23 option 4
tenner_23_05,1.0.0,"a spinning hockey puck,",5,Tenner 23 option 5
tenner_23_06,1.0.0,"a knobby bicycle tire,",6,Tenner 23 option 6
tenner_23_07,1.0.0,"a carbon-fibre tennis racket,",7,Tenner 23 option 7
tenner_23_08,1.0.0,"a spiked baseball,",8,Tenner 23 option 8
tenner_23_09,1.0.0,"an oversized boxing glove,",9,Tenner 23 option 9
