id,version,descriptor,option_index,notes
tenner_21_00,1.0.0,a Barcelona-chair.,0,Tenner 21 option 0
tenner_21_01,1.0.0,a TSA-approved suitcase.,1,Tenner 21 option 1
tenner_21_02,1.0.0,an ethereal crystal ball.,2,Tenner 21 option 2
tenner_21_03,1.0.0,a willow-crafted cricket bat.,3,Tenner 21 option 3
tenner_21_04,1.0.0,a marble chess piece (use the queen),4,Tenner 21 option 4
tenner_21_05,1.0.0,a green-enamel kitchen colander.,5,Tenner 21 option 5
tenner_21_06,1.0.0,an industrial-strength microwave.,6,Tenner 21 option 6
tenner_21_07,1.0.0,a cast-iron tea kettle.,7,Tenner 21 option 7
tenner_21_08,1.0.0,a vintage toaster.,8,Tenner 21 option 8
tenner_21_09,1.0.0,a smoothie-blender.,9,Tenner 21 option 9
