id,version,descriptor,option_index,notes
tenner_14_00,1.0.0,on shards of broken glass.,0,Tenner 14 option 0
tenner_14_01,1.0.0,on burning-hot coals.,1,Tenner 14 option 1
tenner_14_02,1.0.0,on jello.,2,Tenner 14 option 2
tenner_14_03,1.0.0,on a moving train.,3,Tenner 14 option 3
tenner_14_04,1.0.0,in slow motion.,4,Tenner 14 option 4
tenner_14_05,1.0.0,on the ceiling.,5,Tenner 14 option 5
tenner_14_06,1.0.0,under water.,6,Tenner 14 option 6
tenner_14_07,1.0.0,inside a wind tunnel.,7,Tenner 14 option 7
tenner_14_08,1.0.0,in zero gravity.,8,Tenner 14 option 8
tenner_14_09,1.0.0,inside a snow-globe.,9,Tenner 14 option 9
